company_id,company_name,sector,trend_label,trend_slope,trend_pct
1,Company_1,Pharma,DOWN,-130.3267148581674,-6.503158372846155
2,Company_2,Auto,UP,2486.734300821034,5.935254108950025
3,Company_3,FMCG,UP,232.02712102564243,7.3461150768687205
4,Company_4,Auto,UP,3210.774326317734,6.243620293686511
5,Company_5,Auto,UP,3211.6960453334605,7.118857086164322
6,Company_6,Banking,DOWN,-1231.0150495632154,-6.639471887978885
7,Company_7,FMCG,UP,713.8482463453965,7.2933791638730705
8,Company_8,FMCG,FLAT,-35.056653732226636,-0.9897091095057379
9,Company_9,FMCG,UP,2935.795441449931,5.547389091608297
10,Company_10,Auto,DOWN,-2022.470432039839,-11.260068453573227
11,Company_11,Pharma,FLAT,-563.3140699157128,-2.7457638922529832
12,Company_12,FMCG,UP,1138.9478453031707,7.174317067903596
13,Company_13,Energy,UP,2613.259408800154,7.241063623431665
14,Company_14,Auto,FLAT,-207.0258146072196,-1.1479750371663855
15,Company_15,Banking,DOWN,-2139.035447906966,-12.83491107941615
16,Company_16,Pharma,UP,2359.002186272946,7.193571433621608
17,Company_17,Energy,UP,1742.91664493117,5.002812472609132
18,Company_18,Energy,UP,259.9206410849348,8.026404851935848
19,Company_19,Banking,FLAT,-151.1965837300224,-1.2617954334708987
20,Company_20,Pharma,FLAT,-111.48354911749857,-0.5603141732448403
21,Company_21,Auto,FLAT,64.65377588457213,0.5272081620857287
22,Company_22,IT,UP,2781.8351789140966,6.118632290277945
23,Company_23,Pharma,DOWN,-1016.4394623679772,-5.232037824735211
24,Company_24,Banking,DOWN,-592.5607865136865,-9.02864142236862
25,Company_25,Energy,FLAT,-430.6533535091603,-1.7273341275611909
26,Company_26,Auto,DOWN,-1462.4790522622964,-10.389082999308306
27,Company_27,Pharma,UP,618.6583758397901,7.613824894922507
28,Company_28,IT,DOWN,-205.34151413590655,-9.243934417258798
29,Company_29,IT,FLAT,173.57203158466692,1.8004149769488615
30,Company_30,FMCG,UP,2754.752295974222,5.422633734980429
31,Company_31,FMCG,UP,430.93650264453606,8.880408757240255
32,Company_32,Banking,UP,410.1771558257575,5.162846027990567
33,Company_33,Pharma,UP,1841.4972620034182,4.365279346608574
34,Company_34,Pharma,FLAT,157.58390043884881,1.2935279462751879
35,Company_35,Energy,UP,370.4338817831767,6.382008330979535
36,Company_36,Energy,UP,517.5853558030147,6.186214064125733
37,Company_37,Energy,UP,279.3840339081711,4.494729892955488
38,Company_38,FMCG,FLAT,-10.449377290943826,-0.2666879922813223
39,Company_39,Pharma,DOWN,-1212.4664889380515,-10.070737892528053
40,Company_40,Pharma,UP,2340.7877205511472,6.522437188565
41,Company_41,IT,UP,757.101124348376,6.8353158333154616
42,Company_42,FMCG,UP,845.3316046789207,5.158747698384799
43,Company_43,Auto,FLAT,66.48606702780862,1.135044630265785
44,Company_44,FMCG,UP,1301.29171143672,6.379915998152807
45,Company_45,Auto,DOWN,-1274.3777792317724,-9.874782324832212
46,Company_46,IT,FLAT,-149.4011962640677,-1.939589310065281
47,Company_47,Banking,FLAT,217.91191907294098,1.1197428665879314
48,Company_48,Pharma,DOWN,-303.0686650994159,-10.746040928006058
49,Company_49,IT,UP,685.4872841261163,5.792228834482869
50,Company_50,Pharma,DOWN,-701.5855012827183,-4.737129375818912
51,Company_51,Energy,UP,251.68321809023826,5.304863783770581
52,Company_52,Banking,UP,701.1713289942247,7.631490253900135
53,Company_53,Banking,DOWN,-1308.1346075197075,-12.862179901465565
