company_id,company_name,sector,year_id,metric,value,z_score,detection_method
21,POWERGRID,Unknown,2015,opm_pct,85.0,3.2054711472596114,z_score
21,POWERGRID,Unknown,2016,opm_pct,88.0,3.35190141986565,z_score
21,POWERGRID,Unknown,2017,opm_pct,87.0,3.3030913289969703,z_score
21,POWERGRID,Unknown,2018,opm_pct,87.0,3.3030913289969703,z_score
21,POWERGRID,Unknown,2020,opm_pct,87.0,3.3030913289969703,z_score
21,POWERGRID,Unknown,2021,opm_pct,88.0,3.35190141986565,z_score
21,POWERGRID,Unknown,2022,opm_pct,86.0,3.254281238128291,z_score
21,POWERGRID,Unknown,2023,opm_pct,87.0,3.3030913289969703,z_score
21,POWERGRID,Unknown,2024,opm_pct,86.0,3.254281238128291,z_score
21,POWERGRID,Unknown,2025,opm_pct,85.0,3.2054711472596114,z_score
56,PAYTM,Unknown,2015,opm_pct,-111.0,6.3613066630016,z_score
56,PAYTM,Unknown,2016,opm_pct,-195.0,10.461354295970692,z_score
56,PAYTM,Unknown,2019,opm_pct,-135.0,7.532748843849912,z_score
56,PAYTM,Unknown,2020,opm_pct,-82.0,4.945814027809892,z_score
56,PAYTM,Unknown,2021,opm_pct,-66.0,4.164852573911017,z_score
56,PAYTM,Unknown,2022,opm_pct,-48.0,3.286270938274783,z_score
57,POLICYBZR,Unknown,2015,opm_pct,-92.0,5.433914936496688,z_score
57,POLICYBZR,Unknown,2016,opm_pct,-157.0,8.606570842960865,z_score
57,POLICYBZR,Unknown,2019,opm_pct,-68.0,4.262472755648376,z_score
57,POLICYBZR,Unknown,2022,opm_pct,-63.0,4.018422301304978,z_score
77,SJVN,Unknown,2015,opm_pct,87.0,3.3030913289969703,z_score
77,SJVN,Unknown,2016,opm_pct,83.0,3.107850965522252,z_score
77,SJVN,Unknown,2017,opm_pct,82.0,3.059040874653572,z_score
83,PVRINOX,Unknown,2021,opm_pct,-120.0,6.800597480819717,z_score
1,TCS,Unknown,2023,operating_profit,59259.0,3.0740836193522094,z_score
1,TCS,Unknown,2024,operating_profit,64296.0,3.3828069607584808,z_score
1,TCS,Unknown,2025,operating_profit,67407.0,3.573483616528763,z_score
2,RELIANCE,Unknown,2018,operating_profit,64315.0,3.383971491925191,z_score
2,RELIANCE,Unknown,2019,operating_profit,84250.0,4.605809850260316,z_score
2,RELIANCE,Unknown,2020,operating_profit,89266.0,4.913246078271803,z_score
2,RELIANCE,Unknown,2021,operating_profit,80790.0,4.3937425956909895,z_score
2,RELIANCE,Unknown,2022,operating_profit,108581.0,6.097083945903754,z_score
2,RELIANCE,Unknown,2023,operating_profit,142318.0,8.164862260182767,z_score
2,RELIANCE,Unknown,2024,operating_profit,162498.0,9.40171694145705,z_score
2,RELIANCE,Unknown,2025,operating_profit,165598.0,9.591719394972921,z_score
9,BHARTIARTL,Unknown,2023,operating_profit,71274.0,3.8104963545113026,z_score
9,BHARTIARTL,Unknown,2024,operating_profit,77893.0,4.2161822383247065,z_score
9,BHARTIARTL,Unknown,2025,operating_profit,85060.0,4.655455652630592,z_score
25,ONGC,Unknown,2019,operating_profit,74819.0,4.0277733537738065,z_score
25,ONGC,Unknown,2022,operating_profit,79874.0,4.337599935232752,z_score
25,ONGC,Unknown,2023,operating_profit,75527.0,4.07116746251227,z_score
25,ONGC,Unknown,2024,operating_profit,102383.0,5.717201621100087,z_score
25,ONGC,Unknown,2025,operating_profit,88861.0,4.888423177086665,z_score
33,TATASTEEL,Unknown,2022,operating_profit,63490.0,3.3334063228443545,z_score
1,,,2023,multi_metric,,,isolation_forest
1,,,2024,multi_metric,,,isolation_forest
1,,,2025,multi_metric,,,isolation_forest
2,,,2018,multi_metric,,,isolation_forest
2,,,2019,multi_metric,,,isolation_forest
2,,,2020,multi_metric,,,isolation_forest
2,,,2021,multi_metric,,,isolation_forest
2,,,2022,multi_metric,,,isolation_forest
2,,,2023,multi_metric,,,isolation_forest
2,,,2024,multi_metric,,,isolation_forest
2,,,2025,multi_metric,,,isolation_forest
9,,,2021,multi_metric,,,isolation_forest
9,,,2022,multi_metric,,,isolation_forest
9,,,2023,multi_metric,,,isolation_forest
9,,,2024,multi_metric,,,isolation_forest
9,,,2025,multi_metric,,,isolation_forest
21,,,2015,multi_metric,,,isolation_forest
21,,,2016,multi_metric,,,isolation_forest
21,,,2017,multi_metric,,,isolation_forest
21,,,2018,multi_metric,,,isolation_forest
21,,,2019,multi_metric,,,isolation_forest
21,,,2020,multi_metric,,,isolation_forest
21,,,2021,multi_metric,,,isolation_forest
21,,,2022,multi_metric,,,isolation_forest
21,,,2023,multi_metric,,,isolation_forest
21,,,2024,multi_metric,,,isolation_forest
21,,,2025,multi_metric,,,isolation_forest
25,,,2019,multi_metric,,,isolation_forest
25,,,2022,multi_metric,,,isolation_forest
25,,,2023,multi_metric,,,isolation_forest
25,,,2024,multi_metric,,,isolation_forest
25,,,2025,multi_metric,,,isolation_forest
28,,,2025,multi_metric,,,isolation_forest
30,,,2025,multi_metric,,,isolation_forest
33,,,2022,multi_metric,,,isolation_forest
40,,,2024,multi_metric,,,isolation_forest
56,,,2015,multi_metric,,,isolation_forest
56,,,2016,multi_metric,,,isolation_forest
56,,,2019,multi_metric,,,isolation_forest
56,,,2020,multi_metric,,,isolation_forest
56,,,2021,multi_metric,,,isolation_forest
56,,,2022,multi_metric,,,isolation_forest
57,,,2015,multi_metric,,,isolation_forest
57,,,2016,multi_metric,,,isolation_forest
57,,,2019,multi_metric,,,isolation_forest
57,,,2020,multi_metric,,,isolation_forest
57,,,2022,multi_metric,,,isolation_forest
83,,,2021,multi_metric,,,isolation_forest
